Scenario,IT energy (MWh),Facility energy (MWh),Grid energy (MWh),Peak facility load (MW),Peak grid load (MW),Average grid load (MW),Grid load factor,Energy-weighted PUE,Renewable energy used (MWh),Renewable coverage (%),Carbon emissions (tCO2e),Water consumption (m3),Electricity cost,Capacity exceedance (hours),Maximum ramp (MW/min),95th percentile grid load (MW),Battery equivalent cycles
Baseline,790.6554043344902,977.4670140769846,977.4670140769846,8.038975903475958,8.038975903475958,5.818256036172526,0.723755874632835,1.236274372777781,0.0,0.0,439.86015633464314,395.3277021672451,93213.6547524825,0.0,0.07890555193412473,7.222961176308891,0.0
Efficient cooling,790.6554043344902,898.4014736435355,898.4014736435355,7.387562875414735,7.387562875414735,5.347627819306759,0.7238690092375755,1.1362743727777809,0.0,0.0,404.280663139591,296.49577662543385,85675.90203986983,0.0,0.07249726613218624,6.6390142056024875,0.0
15% GPU power cap,672.0570936843168,830.8469619654369,830.8469619654369,6.833129517954564,6.833129517954564,4.945517630746648,0.7237558746328351,1.2362743727777807,0.0,0.0,373.88113288444663,336.0285468421584,79231.60653961013,0.0,0.06706971914400608,6.139516999862558,0.0
Grid-aware scheduling,790.6554043344903,976.804555193673,976.804555193673,7.767912349868065,7.767912349868065,5.814312828533768,0.7485039179970306,1.2354365123398707,0.0,0.0,439.5620498371528,395.32770216724515,92008.11378412304,0.0,0.0803887766192646,7.052081584270628,0.0
Renewables + BESS,790.6554043344902,977.4670140769846,657.6864820088446,8.038975903475958,7.363077660014235,3.914800488147885,0.5316799127907496,1.236274372777781,325.47263185644306,33.29755655885581,295.9589169039801,395.3277021672451,65475.587202927396,0.0,0.07993989861668437,6.413719388925616,0.2635231383473648
Integrated package,711.5898639010412,807.9651132842015,488.1855201562948,6.4249763692519855,5.897107835559388,2.905866191406517,0.4927612437209014,1.1354365123398706,325.4716929162098,40.28288939274105,219.6834840703327,266.84619896289047,48369.6825202278,0.0,0.07795088723402559,4.8020978266651255,0.2635231383473648
